Field,Experience,Location,Company Size,Salary,URL
IT - Phần mềm,2 năm,Hải Phòng,100-499 nhân viên,11 - 15 triệu,https://www.topcv.vn/viec-lam/eif-staff-operations-assistant-management-short-term-5-months/1646399.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Dược phẩm / Y tế / Công nghệ sinh học,3 năm,Hồ Chí Minh,25-99 nhân viên,Tới 15 triệu,https://www.topcv.vn/viec-lam/graphic-design-cum-video-editor-3-nam-kinh-nghiem-san-pham-thuc-pham-chuc-nang-cham-soc-suc-khoe/1638622.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
N/A,N/A,N/A,N/A,N/A,https://www.topcv.vn/brand/matbao/tuyen-dung/soc-analyst-tier-1-j1637140.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,Hà Nội,10-24 nhân viên,18 - 30 triệu,https://www.topcv.vn/viec-lam/it-comtor-n1/1609204.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,3 năm,Hà Nội,25-99 nhân viên,25 - 30 triệu,https://www.topcv.vn/viec-lam/frontend-developer-vuejs-tu-3-nam-kinh-nghiem-luong-25-30m-thuong-nghi-thu-7-chu-nhat/1638167.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,5 năm,Hải Phòng,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/java-developer-senior/1627020.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,Hà Nội,1-9 nhân viên,20 - 30 triệu,https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-python-ai-thu-nhap-20-30-trieu/1496103.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,Không yêu cầu,Hà Nội,10-24 nhân viên,30 - 50 triệu,https://www.topcv.vn/viec-lam/brse-product-manager-tieng-nhat-n2-non-tech/1609214.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Giáo dục / Đào tạo,1 năm,Hà Nội,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/giang-vien-cong-nghe-thong-tin-khoa-hoc-may-tinh/1334503.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Sản xuất,1 năm,Đà Nẵng,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-3d-1-nam-kinh-nghiem-di-lam-ngay/1649533.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Sản xuất,2 năm,Hà Nội,100-499 nhân viên,10 - 15 triệu,https://www.topcv.vn/viec-lam/graphic-design-thiet-ke-noi-dung-truyen-thong-luong-co-ban-len-den-15-trieu-dong/1637360.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,2 năm,Hồ Chí Minh,25-99 nhân viên,15 - 20 triệu,https://www.topcv.vn/viec-lam/product-manager-cybersecurity-quan-ly-san-pham-mang-it-security-dai-ngo-tot-luong-thuong-canh-tranh-quan-1-tphcm-di-lam-ngay/1597192.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,Không yêu cầu,Hồ Chí Minh & 2 nơi khác,25-99 nhân viên,8 - 20 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-phan-mem-eeasysalon-khong-yeu-cau-kinh-nghiem-tai-hn-hcm-da-nang-thu-nhap-tu-10-25tr/1508300.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Tư vấn,Trên 5 năm,Hà Nội,1000+ nhân viên,Tới 65 triệu,https://www.topcv.vn/viec-lam/senior-expert-business-data-analyst-domain-fmcg/1629428.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Bất động sản,2 năm,Hà Nội,500-1000 nhân viên,16 - 18 triệu,https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-marketing-designer-16-trieu-18-trieu/1010549.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,3 năm,Hà Nội,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/back-end-developer-python-java/1581247.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,Hải Phòng,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/it-security/1646257.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Viễn thông,2 năm,Hà Nội,1000+ nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-dam-bao-chat-luong-du-an-pqa/1572475.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,2 năm,Hà Nội,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-ha-tang-system-administrator/1650673.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,2 năm,Hà Nội,25-99 nhân viên,12 - 15 triệu,https://www.topcv.vn/viec-lam/thiet-ke-do-hoa-2d-animation/1639038.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,Hà Nội,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/lap-trinh-vien-vuejs-java-c-angular-thu-nhap-hap-dan/1636624.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Ngân hàng,Không yêu cầu,Hà Nội,1000+ nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-phat-trien-phan-mem-it-thu-nhap-hap-dan/1637883.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
N/A,N/A,N/A,N/A,N/A,https://www.topcv.vn/brand/fptis/tuyen-dung/crm-consultant-banking-insurance-j1647997.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,3 năm,Hà Nội,100-499 nhân viên,"600 - 1,200 USD",https://www.topcv.vn/viec-lam/1c-erp-implementation-specialist/1644735.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Marketing / Truyền thông / Quảng cáo,2 năm,"Hà Nội, Hồ Chí Minh",100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-telesales/1644077.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,3 năm,Hà Nội,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/ui-designer/1583671.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Thời trang,1 năm,Hà Nội,25-99 nhân viên,12 - 15 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-graphic-design/1620311.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,3 năm,Hà Nội,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/etl-developer-data-engineer/1599438.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Khác,1 năm,Hồ Chí Minh,25-99 nhân viên,10 - 12 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-graphic-design-luong-10-12-trieu-tu-1-nam-kinh-nghiem-di-lam-ngay/1638422.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,Hồ Chí Minh,25-99 nhân viên,8 - 20 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1408195.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Giáo dục / Đào tạo,1 năm,Hà Nội,100-499 nhân viên,Từ 11 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-graphic-design/1658209.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Giáo dục / Đào tạo,2 năm,Hồ Chí Minh,500-1000 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/giang-vien-it/1642602.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
